Total Sales;$8.762.912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Profit;$1.294.794;;;04.11.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Transactions;$6.227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date;Store Name;Region;Note;Store Type;Product Name;Product Category;Units Sold;Revenue;Profit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TREEMAP;;;
01.01.2020;Beverly Hills;Los Angeles;;Residential;Action Figure;Toys;63;$1.007;$378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Region;Store;Product Category;Revenue
30.01.2020;Michigan Ave;Chicago;;Commercial;Action Figure;Toys;48;$768;$288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Michigan Ave;Chicago;;Commercial;Animal Figures;Toys;19;$247;$57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Michigan Ave;Chicago;;Commercial;Colorbuds;Electronics;103;$1.544;$824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Michigan Ave;Chicago;;Commercial;Dart Gun;Sports & Outdoors;47;$752;$188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Michigan Ave;Chicago;;Commercial;Deck Of Cards;Games;29;$203;$87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Michigan Ave;Chicago;;Commercial;Dino Egg;Toys;92;$1.011;$92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Michigan Ave;Chicago;;Commercial;Dinosaur Figures;Toys;31;$465;$124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Michigan Ave;Chicago;;Commercial;Glass Marbles;Games;43;$473;$215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Michigan Ave;Chicago;;Commercial;Kids Makeup Kit;Art & Crafts;15;$300;$90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Michigan Ave;Chicago;;Commercial;Lego Bricks;Toys;31;$1.240;$155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Michigan Ave;Chicago;;Commercial;PlayDoh Can;Art & Crafts;32;$96;$32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Michigan Ave;Chicago;;Commercial;PlayDoh Toolkit;Art & Crafts;15;$75;$15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Michigan Ave;Chicago;;Commercial;Rubik's Cube;Games;33;$660;$66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Michigan Ave;Chicago;;Commercial;Splash Balls;Sports & Outdoors;37;$333;$37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Michigan Ave;Chicago;;Commercial;Toy Robot;Electronics;17;$442;$85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Fifth Avenue;New York;;Commercial;Action Figure;Toys;33;$528;$198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Fifth Avenue;New York;;Commercial;Animal Figures;Toys;37;$481;$111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Fifth Avenue;New York;;Commercial;Colorbuds;Electronics;145;$2.174;$1.160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Fifth Avenue;New York;;Commercial;Deck Of Cards;Games;41;$287;$123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Fifth Avenue;New York;;Commercial;Dino Egg;Toys;42;$462;$42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Fifth Avenue;New York;;Commercial;Dinosaur Figures;Toys;3;$45;$12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Fifth Avenue;New York;;Commercial;Glass Marbles;Games;15;$165;$75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Fifth Avenue;New York;;Commercial;Kids Makeup Kit;Art & Crafts;33;$660;$198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Fifth Avenue;New York;;Commercial;Lego Bricks;Toys;70;$2.799;$350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Fifth Avenue;New York;;Commercial;Nerf Gun;Sports & Outdoors;12;$240;$60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Fifth Avenue;New York;;Commercial;PlayDoh Can;Art & Crafts;14;$42;$14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Fifth Avenue;New York;;Commercial;PlayDoh Toolkit;Art & Crafts;52;$259;$52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Fifth Avenue;New York;;Commercial;Rubik's Cube;Games;1;$20;$2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Fifth Avenue;New York;;Commercial;Splash Balls;Sports & Outdoors;38;$342;$38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.2020;Fifth Avenue;New York;;Commercial;Teddy Bear;Toys;18;$234;$36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.02.2020;Beverly Hills;Los Angeles;;Residential;Action Figure;Toys;56;$895;$336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.02.2020;Beverly Hills;Los Angeles;;Residential;Animal Figures;Toys;27;$351;$81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.02.2020;Beverly Hills;Los Angeles;;Residential;Classic Dominoes;Games;17;$170;$34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.02.2020;Beverly Hills;Los Angeles;;Residential;Colorbuds;Electronics;40;$600;$320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.02.2020;Beverly Hills;Los Angeles;;Residential;Dart Gun;Sports & Outdoors;33;$528;$132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.02.2020;Beverly Hills;Los Angeles;;Residential;Deck Of Cards;Games;93;$650;$279;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.02.2020;Beverly Hills;Los Angeles;;Residential;Dino Egg;Toys;24;$264;$24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.02.2020;Beverly Hills;Los Angeles;;Residential;Dinosaur Figures;Toys;29;$435;$116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.02.2020;Beverly Hills;Los Angeles;;Residential;Glass Marbles;Games;5;$55;$25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.02.2020;Beverly Hills;Los Angeles;;Residential;Kids Makeup Kit;Art & Crafts;27;$540;$162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.02.2020;Beverly Hills;Los Angeles;;Residential;Lego Bricks;Toys;75;$2.999;$375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.02.2020;Beverly Hills;Los Angeles;;Residential;Mini Ping Pong;Sports & Outdoors;56;$559;$168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.02.2020;Beverly Hills;Los Angeles;;Residential;Nerf Gun;Sports & Outdoors;17;$340;$85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.02.2020;Beverly Hills;Los Angeles;;Residential;PlayDoh Can;Art & Crafts;11;$33;$11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.02.2020;Beverly Hills;Los Angeles;;Residential;PlayDoh Toolkit;Art & Crafts;21;$105;$21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.02.2020;Beverly Hills;Los Angeles;;Residential;Rubik's Cube;Games;10;$200;$20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.02.2020;Beverly Hills;Los Angeles;;Residential;Splash Balls;Sports & Outdoors;9;$81;$9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.02.2020;Beverly Hills;Los Angeles;;Residential;Teddy Bear;Toys;20;$260;$40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.02.2020;Hollywood;Los Angeles;;Commercial;Action Figure;Toys;13;$208;$78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.02.2020;Hollywood;Los Angeles;;Commercial;Animal Figures;Toys;80;$1.039;$240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.02.2020;Hollywood;Los Angeles;;Commercial;Colorbuds;Electronics;273;$4.092;$2.184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.02.2020;Hollywood;Los Angeles;;Commercial;Dart Gun;Sports & Outdoors;35;$560;$140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.02.2020;Hollywood;Los Angeles;;Commercial;Deck Of Cards;Games;97;$678;$291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.02.2020;Hollywood;Los Angeles;;Commercial;Dinosaur Figures;Toys;24;$360;$96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.02.2020;Hollywood;Los Angeles;;Commercial;Glass Marbles;Games;27;$297;$135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.02.2020;Hollywood;Los Angeles;;Commercial;Kids Makeup Kit;Art & Crafts;26;$520;$156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.02.2020;Hollywood;Los Angeles;;Commercial;Lego Bricks;Toys;46;$1.840;$230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Hollywood;Los Angeles;;Commercial;PlayDoh Can;Art & Crafts;67;$200;$67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Hollywood;Los Angeles;;Commercial;PlayDoh Toolkit;Art & Crafts;19;$95;$19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Hollywood;Los Angeles;;Commercial;Rubik's Cube;Games;18;$360;$36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Hollywood;Los Angeles;;Commercial;Splash Balls;Sports & Outdoors;68;$611;$68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Hollywood;Los Angeles;;Commercial;Teddy Bear;Toys;10;$130;$20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Hollywood;Los Angeles;;Commercial;Toy Robot;Electronics;16;$416;$80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Times Square;New York;;Downtown;Action Figure;Toys;49;$784;$294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Times Square;New York;;Downtown;Animal Figures;Toys;13;$169;$39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Times Square;New York;;Downtown;Classic Dominoes;Games;16;$160;$32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Times Square;New York;;Downtown;Colorbuds;Electronics;222;$3.328;$1.776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Times Square;New York;;Downtown;Dart Gun;Sports & Outdoors;20;$320;$80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Times Square;New York;;Downtown;Deck Of Cards;Games;55;$384;$165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Times Square;New York;;Downtown;Dinosaur Figures;Toys;47;$705;$188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Times Square;New York;;Downtown;Glass Marbles;Games;6;$66;$30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Times Square;New York;;Downtown;Kids Makeup Kit;Art & Crafts;67;$1.339;$402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Times Square;New York;;Downtown;Lego Bricks;Toys;49;$1.960;$245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Times Square;New York;;Downtown;Basketball Hoop;Sports & Outdoors;9;$225;$144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Times Square;New York;;Downtown;Mini Ping Pong;Sports & Outdoors;6;$60;$18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Times Square;New York;;Downtown;Nerf Gun;Sports & Outdoors;11;$220;$55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Times Square;New York;;Downtown;PlayDoh Can;Art & Crafts;97;$290;$97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Times Square;New York;;Downtown;PlayDoh Toolkit;Art & Crafts;64;$319;$64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Times Square;New York;;Downtown;Rubik's Cube;Games;5;$100;$10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Times Square;New York;;Downtown;Splash Balls;Sports & Outdoors;37;$333;$37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Times Square;New York;;Downtown;Toy Robot;Electronics;16;$416;$80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Millenium;Chicago;;Downtown;Action Figure;Toys;193;$3.086;$1.158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Millenium;Chicago;;Downtown;Animal Figures;Toys;88;$1.143;$264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Millenium;Chicago;;Downtown;Barrel O' Slime;Art & Crafts;9;$36;$18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Millenium;Chicago;;Downtown;Colorbuds;Electronics;93;$1.394;$744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Millenium;Chicago;;Downtown;Dart Gun;Sports & Outdoors;88;$1.407;$352;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Millenium;Chicago;;Downtown;Deck Of Cards;Games;82;$573;$246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Millenium;Chicago;;Downtown;Dino Egg;Toys;32;$352;$32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Millenium;Chicago;;Downtown;Glass Marbles;Games;61;$670;$305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Millenium;Chicago;;Downtown;Kids Makeup Kit;Art & Crafts;52;$1.039;$312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Millenium;Chicago;;Downtown;Lego Bricks;Toys;124;$4.959;$620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Millenium;Chicago;;Downtown;Nerf Gun;Sports & Outdoors;79;$1.579;$395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Millenium;Chicago;;Downtown;PlayDoh Can;Art & Crafts;172;$514;$172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Millenium;Chicago;;Downtown;PlayDoh Toolkit;Art & Crafts;43;$215;$43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Millenium;Chicago;;Downtown;Rubik's Cube;Games;69;$1.379;$138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Millenium;Chicago;;Downtown;Splash Balls;Sports & Outdoors;45;$405;$45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Millenium;Chicago;;Downtown;Teddy Bear;Toys;14;$182;$28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Millenium;Chicago;;Downtown;Toy Robot;Electronics;63;$1.637;$315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;LAX;Los Angeles;;Airport;Action Figure;Toys;20;$320;$120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;LAX;Los Angeles;;Airport;Animal Figures;Toys;20;$260;$60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;LAX;Los Angeles;;Airport;Colorbuds;Electronics;174;$2.608;$1.392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;LAX;Los Angeles;;Airport;Dart Gun;Sports & Outdoors;16;$256;$64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;LAX;Los Angeles;;Airport;Deck Of Cards;Games;6;$42;$18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;LAX;Los Angeles;;Airport;Dino Egg;Toys;16;$176;$16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;LAX;Los Angeles;;Airport;Dinosaur Figures;Toys;36;$540;$144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;LAX;Los Angeles;;Airport;Glass Marbles;Games;81;$890;$405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;LAX;Los Angeles;;Airport;Kids Makeup Kit;Art & Crafts;30;$600;$180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;LAX;Los Angeles;;Airport;Lego Bricks;Toys;51;$2.039;$255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;LAX;Los Angeles;;Airport;Nerf Gun;Sports & Outdoors;18;$360;$90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;LAX;Los Angeles;;Airport;PlayDoh Can;Art & Crafts;73;$218;$73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;LAX;Los Angeles;;Airport;PlayDoh Toolkit;Art & Crafts;105;$524;$105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;LAX;Los Angeles;;Airport;Rubik's Cube;Games;81;$1.619;$162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;LAX;Los Angeles;;Airport;Splash Balls;Sports & Outdoors;45;$405;$45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;O'Hare;Chicago;;Airport;Action Figure;Toys;66;$1.055;$396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;O'Hare;Chicago;;Airport;Animal Figures;Toys;50;$650;$150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;O'Hare;Chicago;;Airport;Colorbuds;Electronics;350;$5.247;$2.800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;O'Hare;Chicago;;Airport;Dart Gun;Sports & Outdoors;64;$1.023;$256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;O'Hare;Chicago;;Airport;Deck Of Cards;Games;164;$1.146;$492;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;O'Hare;Chicago;;Airport;Dino Egg;Toys;144;$1.583;$144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;O'Hare;Chicago;;Airport;Glass Marbles;Games;505;$5.550;$2.525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;O'Hare;Chicago;;Airport;Kids Makeup Kit;Art & Crafts;18;$360;$108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;O'Hare;Chicago;;Airport;Lego Bricks;Toys;155;$6.198;$775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;O'Hare;Chicago;;Airport;Nerf Gun;Sports & Outdoors;23;$460;$115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;O'Hare;Chicago;;Airport;PlayDoh Can;Art & Crafts;45;$135;$45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;O'Hare;Chicago;;Airport;PlayDoh Toolkit;Art & Crafts;6;$30;$6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;O'Hare;Chicago;;Airport;Splash Balls;Sports & Outdoors;74;$665;$74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;O'Hare;Chicago;;Airport;Teddy Bear;Toys;18;$234;$36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;JFK;New York;;Airport;Action Figure;Toys;30;$480;$180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;JFK;New York;;Airport;Animal Figures;Toys;21;$273;$63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;JFK;New York;;Airport;Chutes & Ladders;Games;10;$130;$30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;JFK;New York;;Airport;Classic Dominoes;Games;23;$230;$46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;JFK;New York;;Airport;Colorbuds;Electronics;275;$4.122;$2.200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;JFK;New York;;Airport;Dart Gun;Sports & Outdoors;71;$1.135;$284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;JFK;New York;;Airport;Deck Of Cards;Games;80;$559;$240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;JFK;New York;;Airport;Dinosaur Figures;Toys;54;$809;$216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;JFK;New York;;Airport;Glass Marbles;Games;27;$297;$135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;JFK;New York;;Airport;Kids Makeup Kit;Art & Crafts;3;$60;$18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;JFK;New York;;Airport;Lego Bricks;Toys;60;$2.399;$300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;JFK;New York;;Airport;Monopoly;Games;7;$140;$42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;JFK;New York;;Airport;Nerf Gun;Sports & Outdoors;7;$140;$35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;JFK;New York;;Airport;PlayDoh Can;Art & Crafts;14;$42;$14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;JFK;New York;;Airport;Rubik's Cube;Games;12;$240;$24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;JFK;New York;;Airport;Splash Balls;Sports & Outdoors;37;$333;$37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;JFK;New York;;Airport;Teddy Bear;Toys;6;$78;$12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;JFK;New York;;Airport;Uno Card Game;Games;3;$24;$12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Lincoln Park;Chicago;;Residential;Action Figure;Toys;67;$1.071;$402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Lincoln Park;Chicago;;Residential;Animal Figures;Toys;17;$221;$51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Lincoln Park;Chicago;;Residential;Chutes & Ladders;Games;11;$143;$33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Lincoln Park;Chicago;;Residential;Classic Dominoes;Games;16;$160;$32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Lincoln Park;Chicago;;Residential;Colorbuds;Electronics;49;$735;$392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Lincoln Park;Chicago;;Residential;Dart Gun;Sports & Outdoors;15;$240;$60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Lincoln Park;Chicago;;Residential;Deck Of Cards;Games;181;$1.265;$543;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Lincoln Park;Chicago;;Residential;Dino Egg;Toys;85;$934;$85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Lincoln Park;Chicago;;Residential;Glass Marbles;Games;23;$253;$115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.2020;Lincoln Park;Chicago;;Residential;Kids Makeup Kit;Art & Crafts;9;$180;$54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
